crate_name,advisory_id,description,published_date,cvss_score,label
hyper,GHSA-5h46-h7hh-c6x9,,2021-07-12T16:55:37Z,,1
hyper,GHSA-f3pg-qwvg-p99c,,2021-07-12T16:54:20Z,,1
lettre,GHSA-qc36-q22q-cjw3,,2021-07-12T17:03:27Z,,1
tar,GHSA-2367-c296-3mp2,,2021-08-25T20:43:54Z,,1
rusqlite,GHSA-28ph-f7gx-fqj8,,2021-08-25T20:47:57Z,,1
insert_many,GHSA-29hg-r7c7-54fr,,2021-08-25T20:55:06Z,,1
parc,GHSA-29v7-3v4c-gf38,,2021-08-25T20:57:24Z,,1
sys-info,GHSA-2f5j-3mhq-xv58,,2021-08-25T20:58:15Z,,1
tokio,GHSA-2grh-hm3w-w7hv,,2021-08-25T20:55:51Z,,1
tokio,GHSA-2grh-hm3w-w7hv,,2021-08-25T20:55:51Z,,1
tokio,GHSA-2grh-hm3w-w7hv,,2021-08-25T20:55:51Z,,1
tokio,GHSA-2grh-hm3w-w7hv,,2021-08-25T20:55:51Z,,1
tokio-rustls,GHSA-2jfv-g3fh-xq3v,,2021-08-25T20:46:54Z,,1
tokio-rustls,GHSA-2jfv-g3fh-xq3v,,2021-08-25T20:46:54Z,,1
toolshed,GHSA-2r6q-6c8c-g762,,2021-08-25T20:58:03Z,,1
safe-transmute,GHSA-2v78-j59h-fmpf,,2021-08-25T20:43:23Z,,1
pyo3,GHSA-2vx6-fcw6-hpr6,,2021-08-25T20:49:52Z,,1
sodiumoxide,GHSA-2wc6-2rcj-8v76,,2021-08-25T21:00:41Z,,1
xcb,GHSA-2xpg-3hx4-fm9r,,2021-08-25T20:53:20Z,,1
arenavec,GHSA-327x-39hh-65wf,,2021-08-25T20:55:09Z,,1
xcb,GHSA-3288-cwgw-ch86,,2021-08-25T20:53:22Z,,1
ncurses,GHSA-32v7-ghpr-c8hg,,2021-08-25T20:58:47Z,,1
generic-array,GHSA-3358-4f7f-p4j4,,2021-08-25T20:56:12Z,,1
generic-array,GHSA-3358-4f7f-p4j4,,2021-08-25T20:56:12Z,,1
generic-array,GHSA-3358-4f7f-p4j4,,2021-08-25T20:56:12Z,,1
generic-array,GHSA-3358-4f7f-p4j4,,2021-08-25T20:56:12Z,,1
generic-array,GHSA-3358-4f7f-p4j4,,2021-08-25T20:56:12Z,,1
openssl,GHSA-34p9-f4q3-c4r7,,2021-08-25T20:43:11Z,,1
av-data,GHSA-352p-rhvq-7g78,,2021-08-25T20:52:55Z,,1
conqueue,GHSA-368f-29c3-4f2r,,2021-08-25T20:58:50Z,,1
trust-dns-proto,GHSA-369h-pjr2-6wrh,,2021-08-25T20:43:16Z,,1
signal-simple,GHSA-36cg-4jff-5863,,2021-08-25T20:59:13Z,,1
arr,GHSA-36xw-hgfv-jwm7,,2021-08-25T20:48:36Z,,1
cdr,GHSA-37jj-wp7g-7wj4,,2021-08-25T20:53:12Z,,1
v9,GHSA-3837-87vh-xq3w,,2021-08-25T20:57:07Z,,1
lucet-runtime-internals,GHSA-3933-wvjf-pcvc,,2021-08-25T20:46:16Z,,1
lucet-runtime-internals,GHSA-3933-wvjf-pcvc,,2021-08-25T20:46:16Z,,1
serde_yaml,GHSA-39vw-qp34-rmwf,,2021-08-25T21:00:18Z,,1
streebog,GHSA-39wr-f4ff-xm6p,,2021-08-25T20:46:41Z,,1
reffers,GHSA-39xg-8p43-h76x,,2021-08-25T20:51:40Z,,1
rusqlite,GHSA-3cgf-9m6x-pwwr,,2021-08-25T20:47:50Z,,1
xcb,GHSA-3cj3-jrrp-9rxf,,2021-08-25T20:53:18Z,,1
reorder,GHSA-3h87-v52r-p9rg,,2021-08-25T20:54:08Z,,1
va-ts,GHSA-3hj2-hh36-hv9v,,2021-08-25T20:51:56Z,,1
conquer-once,GHSA-3jc5-5hc5-33gj,,2021-08-25T20:50:49Z,,1
marc,GHSA-3mf3-2gv9-h39j,,2021-08-25T20:53:14Z,,1
cbox,GHSA-3vjm-36rr-7qrq,,2021-08-25T20:47:16Z,,1
alg_ds,GHSA-3vv3-frrq-6486,,2021-08-25T20:59:20Z,,1
nalgebra,GHSA-3w8g-xr3f-2mp8,,2021-08-25T20:55:49Z,,1
simple-slab,GHSA-438g-fx34-4h9m,,2021-08-25T20:48:38Z,,1
socket2,GHSA-458v-4hrf-g3m4,,2021-08-25T20:50:37Z,,1
net2,GHSA-458v-4hrf-g3m4,,2021-08-25T20:50:37Z,,1
ckb,GHSA-45p7-c959-rgcm,,2021-08-25T21:01:18Z,,1
ckb,GHSA-48vq-8jqv-gm6f,,2021-08-25T21:01:23Z,,1
string-interner,GHSA-49fq-pw77-6qxj,,2021-08-25T20:44:15Z,,1
string-interner,GHSA-49fq-pw77-6qxj,,2021-08-25T20:44:15Z,,1
trust-dns-server,GHSA-4cww-f7w5-x525,,2021-08-25T20:46:13Z,,1
futures-intrusive,GHSA-4hjg-cx88-g9f9,,2021-08-25T20:49:58Z,,1
libp2p-core,GHSA-4q4x-67hx-5mpg,,2021-08-25T20:44:08Z,,1
mozwire,GHSA-4vhw-4rw7-jfpv,,2021-08-25T20:49:02Z,,1
ordnung,GHSA-4wj3-p7hj-cvx8,,2021-08-25T20:48:47Z,,1
blake2,GHSA-4x25-pvhw-5224,,2021-08-25T20:44:20Z,,1
concread,GHSA-4xj5-vv9x-63jp,,2021-08-25T20:50:22Z,,1
ammonia,GHSA-5325-xw5m-phm3,,2021-08-25T20:55:56Z,,1
ammonia,GHSA-5325-xw5m-phm3,,2021-08-25T20:55:56Z,,1
ordered-float,GHSA-566x-hhrf-qf8m,,2021-08-25T20:50:30Z,,1
ordered-float,GHSA-566x-hhrf-qf8m,,2021-08-25T20:50:30Z,,1
ammonia,GHSA-5hp8-35wj-m525,,2021-08-25T20:44:03Z,,1
through,GHSA-5hpj-m323-cphm,,2021-08-25T20:54:12Z,,1
fltk,GHSA-5pg8-h4gv-m3p8,,2021-08-25T20:53:56Z,,1
tough,GHSA-5q2r-92f9-4m49,,2021-08-25T20:56:55Z,,1
chttp,GHSA-5rrv-m36h-qwf8,,2021-08-25T20:44:40Z,,1
lock_api,GHSA-5wg8-7c9q-794v,,2021-08-25T20:50:00Z,,1
git-delta,GHSA-5xg3-j2j6-rcx4,,2021-08-25T21:01:39Z,,1
tar,GHSA-62jx-8vmh-4mcw,,2021-08-25T20:58:23Z,,1
sized-chunks,GHSA-64gv-qg2v-vxv6,,2021-08-25T20:45:04Z,,1
try-mutex,GHSA-64j8-7gp2-xjx5,,2021-08-25T20:50:28Z,,1
smallvec,GHSA-66p5-j55p-32r9,,2021-08-25T21:00:25Z,,1
unicycle,GHSA-686f-ch3r-xwmh,,2021-08-25T20:58:17Z,,1
rcu_cell,GHSA-686h-j8r8-wmfm,,2021-08-25T20:57:14Z,,1
arrayfire,GHSA-69fv-gw6g-8ccg,,2021-08-25T20:43:26Z,,1
smallvec,GHSA-69gw-hgj3-45m7,,2021-08-25T20:43:58Z,,1
eventio,GHSA-69vj-xx27-g45w,,2021-08-25T20:51:49Z,,1
generator,GHSA-6c65-xcf5-299x,,2021-08-25T20:58:25Z,,1
libpulse-binding,GHSA-6gvc-4jvj-pwq4,,2021-08-30T16:22:34Z,,1
hyper,GHSA-6hfq-h8hq-87mf,,2021-08-25T20:56:18Z,,1
hyper,GHSA-6hfq-h8hq-87mf,,2021-08-25T20:56:18Z,,1
hyper,GHSA-6hfq-h8hq-87mf,,2021-08-25T20:56:18Z,,1
rusqlite,GHSA-6q5w-m3c5-rv95,,2021-08-25T20:47:59Z,,1
http,GHSA-6rhx-hqxm-8p36,,2021-08-25T20:46:44Z,,1
outer_cgi,GHSA-6vmq-jh76-hq43,,2021-08-25T20:55:25Z,,1
comrak,GHSA-6wj2-g87r-pm62,,2021-08-25T20:55:43Z,,1
array-tools,GHSA-6wp2-fw3v-mfmc,,2021-08-25T20:57:19Z,,1
array-queue,GHSA-75cq-g75g-rxff,,2021-08-25T21:00:43Z,,1
evm-core,GHSA-773q-5334-5gf9,,2021-08-25T20:55:36Z,,1
evm-core,GHSA-773q-5334-5gf9,,2021-08-25T20:55:36Z,,1
evm-core,GHSA-773q-5334-5gf9,,2021-08-25T20:55:36Z,,1
evm-core,GHSA-773q-5334-5gf9,,2021-08-25T20:55:36Z,,1
evm-core,GHSA-773q-5334-5gf9,,2021-08-25T20:55:36Z,,1
ticketed_lock,GHSA-77m6-x95j-75r5,,2021-08-25T20:58:58Z,,1
better-macro,GHSA-79wf-qcqv-r22r,,2021-08-25T20:56:00Z,,1
bitvec,GHSA-7cjc-hvxf-gqh7,,2021-08-25T20:47:39Z,,1
libsecp256k1-rs,GHSA-7cqg-8449-rmfv,,2021-08-25T21:01:27Z,,1
compact_arena,GHSA-7j36-gc4r-9x3r,,2021-08-25T20:44:48Z,,1
once_cell,GHSA-7j44-fv4x-79g9,,2021-08-25T20:44:18Z,,1
unicycle,GHSA-7mg7-m5c3-3hqj,,2021-08-25T21:00:39Z,,1
fltk,GHSA-7qcc-g2m9-8533,,2021-08-25T20:53:53Z,,1
tiny_http,GHSA-7v2r-wxmg-mgvc,,2021-08-25T20:48:56Z,,1
molecule,GHSA-82hm-vh7g-hrh9,,2021-08-25T21:01:25Z,,1
openssl-src,GHSA-83mx-573x-5rw9,,2021-08-25T20:54:02Z,,1
slock,GHSA-83r8-p8v6-6gfm,,2021-08-25T21:00:20Z,,1
openssl-src,GHSA-84rm-qf37-fgc2,,2021-08-25T20:52:21Z,,1
obstack,GHSA-85j6-f8j6-q26x,,2021-08-25T20:48:12Z,,1
signal-simple,GHSA-8892-84wf-cg8f,,2021-08-25T21:00:16Z,,1
actix-http,GHSA-8928-2fgm-6x9x,,2021-08-25T20:58:21Z,,1
claxon,GHSA-8c6g-4xc5-w96c,,2021-08-25T20:43:52Z,,1
claxon,GHSA-8c6g-4xc5-w96c,,2021-08-25T20:43:52Z,,1
byte_struct,GHSA-8fgg-5v78-6g76,,2021-08-25T20:52:03Z,,1
atomic-option,GHSA-8gf5-q9p9-wvmc,,2021-08-25T20:51:42Z,,1
id-map,GHSA-8gmx-cpcg-f8h5,,2021-08-25T20:55:11Z,,1
rusqlite,GHSA-8h4j-vm3r-vcq3,,2021-08-25T20:47:48Z,,1
openssl-src,GHSA-8hfj-xrj2-pm22,,2021-08-25T20:54:00Z,,1
rocket,GHSA-8q2v-67v7-6vc6,,2021-08-25T20:48:07Z,,1
toolshed,GHSA-8q5c-93vg-c747,,2021-08-25T21:00:30Z,,1
model,GHSA-8q64-wrfr-q48c,,2021-08-25T20:59:24Z,,1
rusqlite,GHSA-8r7q-r9mx-35rh,,2021-08-25T20:47:18Z,,1
rio,GHSA-8rc5-mr4f-m243,,2021-08-25T20:46:57Z,,1
fake-static,GHSA-8xw8-mmqv-frqq,,2021-08-25T20:55:33Z,,1
arenavec,GHSA-955p-rc5h-hg6h,,2021-08-25T20:55:04Z,,1
yottadb,GHSA-9658-c26v-7qvf,,2021-08-25T20:55:30Z,,1
internment,GHSA-96w3-p368-4h8c,,2021-08-25T20:46:51Z,,1
atom,GHSA-9cg2-2j2h-59v9,,2021-08-25T20:49:11Z,,1
ms3d,GHSA-9f5r-vqm5-m342,,2021-08-25T20:53:16Z,,1
stackvector,GHSA-9frf-r7c7-j2vg,,2021-08-25T20:54:14Z,,1
async-coap,GHSA-9j8q-m9x5-9g6j,,2021-08-25T20:59:11Z,,1
rusb,GHSA-9mxw-4856-9cm5,,2021-08-25T20:50:51Z,,1
sized-chunks,GHSA-9p9m-9xww-qjcx,,2021-08-25T20:45:06Z,,1
lever,GHSA-9pp4-8p8v-g78w,,2021-08-25T20:57:26Z,,1
image,GHSA-9wgh-vjj7-7433,,2021-08-25T20:49:54Z,,1
hyper,GHSA-9xjr-m6f3-v5wm,,2021-08-25T20:43:06Z,,1
crossbeam,GHSA-c3cw-c387-pj65,,2021-08-25T20:43:21Z,,1
slice-deque,GHSA-c3m3-c39q-pv23,,2021-08-25T20:44:10Z,,1
arr,GHSA-c7fw-cr3w-wvfc,,2021-08-25T20:49:04Z,,1
xcb,GHSA-c8hq-x4mm-p6q6,,2021-08-25T20:50:54Z,,1
flatbuffers,GHSA-c9h5-hf8r-m97x,,2021-08-25T20:47:36Z,,1
branca,GHSA-c9rv-3jmq-527w,,2021-08-25T20:49:50Z,,1
autorand,GHSA-cgmg-2v6m-fjg7,,2021-08-25T20:50:41Z,,1
containers,GHSA-cv7x-6rc6-pq5v,,2021-08-25T20:53:05Z,,1
glsl-layout,GHSA-cx4j-fxr7-jxg8,,2021-08-25T20:53:01Z,,1
pleaser,GHSA-f3fg-5j9p-vchc,,2021-08-25T21:01:41Z,,1
cgc,GHSA-f3mq-99jr-ww4r,,2021-08-25T20:56:16Z,,1
libsbc,GHSA-f6g6-54hm-fhxv,,2021-08-25T20:59:02Z,,1
lexer,GHSA-f997-8gxg-r354,,2021-08-25T20:58:09Z,,1
cgc,GHSA-f9xr-3m55-5q2v,,2021-08-25T20:56:14Z,,1
tiny_future,GHSA-fg42-vwxx-xx5j,,2021-08-25T20:58:53Z,,1
quinn,GHSA-fhv4-fx3v-77w6,,2021-08-25T20:52:05Z,,1
quinn,GHSA-fhv4-fx3v-77w6,,2021-08-25T20:52:05Z,,1
postscript,GHSA-fhvc-gp6c-h2wx,,2021-08-25T20:52:23Z,,1
arr,GHSA-fhvj-7f9p-w788,,2021-08-25T20:48:54Z,,1
basic_dsp_matrix,GHSA-fjr6-hm39-4cf9,,2021-08-25T20:52:50Z,,1
sized-chunks,GHSA-fqpx-cq8x-9wp4,,2021-08-25T20:46:03Z,,1
ruspiro-singleton,GHSA-fqq2-xp7m-xvm8,,2021-08-25T20:58:19Z,,1
appendix,GHSA-fvhr-7j8m-3cvc,,2021-08-25T20:57:02Z,,1
aovec,GHSA-g489-xrw3-3v8w,,2021-08-25T20:50:46Z,,1
rgb,GHSA-g4rw-8m5q-6453,,2021-08-25T20:45:12Z,,1
libsecp256k1,GHSA-g4vj-x7v9-h82m,,2021-08-25T20:56:03Z,,1
rusqlite,GHSA-g4w7-3qr8-5623,,2021-08-25T20:47:01Z,,1
ripgrep,GHSA-g4xg-fxmg-vcg5,,2021-08-05T19:31:55Z,,1
grep-cli,GHSA-g4xg-fxmg-vcg5,,2021-08-05T19:31:55Z,,1
cache,GHSA-g78p-g85h-q6ww,,2021-08-25T20:57:12Z,,1
ncurses,GHSA-g7r5-x7cr-vm3v,,2021-08-25T20:58:29Z,,1
kekbit,GHSA-g83m-67wh-whpw,,2021-08-25T20:57:10Z,,1
streebog,GHSA-gf93-h79q-6jjv,,2021-08-25T20:45:41Z,,1
orion,GHSA-gffv-5hr2-f9gj,,2021-08-25T20:43:18Z,,1
cache,GHSA-gh87-6jr3-8q47,,2021-08-25T20:52:57Z,,1
libpulse-binding,GHSA-ghpq-vjxw-ch5w,,2021-08-25T20:56:52Z,,1
lock_api,GHSA-gmv4-vmx3-x9f3,,2021-08-25T20:49:37Z,,1
internment,GHSA-gppw-3h6h-v6q2,,2021-08-25T20:52:08Z,,1
ticketed_lock,GHSA-gq4h-f254-7cw9,,2021-08-25T21:00:34Z,,1
prost,GHSA-gv73-9mwv-fwgq,,2021-08-25T20:46:11Z,,1
libp2p-deflate,GHSA-gvcp-948f-8f2p,,2021-08-25T20:59:04Z,,1
scottqueue,GHSA-gvvv-w559-2hg6,,2021-08-25T20:57:17Z,,1
simd-json,GHSA-gwfj-pw2x-h6c2,,2021-08-25T20:43:56Z,,1
mdBook,GHSA-gx5w-rrhp-f436,,2021-08-25T20:56:20Z,,1
flatbuffers,GHSA-gx73-2498-r55c,,2021-08-25T20:46:49Z,,1
nalgebra,GHSA-h3mf-4fwp-59c7,,2021-08-05T19:58:06Z,,1
hyper,GHSA-h3qr-rq2j-74w4,,2021-08-25T20:46:08Z,,1
stack,GHSA-h45v-vgvp-3h5v,,2021-08-25T20:49:13Z,,1
generator,GHSA-h6gg-fvf5-qgwf,,2021-08-25T20:55:41Z,,1
multihash,GHSA-h7qh-3h6f-w79p,,2021-08-25T20:49:41Z,,1
anymap,GHSA-hc92-9h3m-c39j,,2021-08-25T20:55:45Z,,1
actix-utils,GHSA-hhw2-pqhf-vmx2,,2021-08-25T20:49:09Z,,1
lock_api,GHSA-hj9h-wrgg-hgmx,,2021-08-25T20:50:02Z,,1
telemetry,GHSA-hpcx-3pw8-g3j2,,2021-08-25T20:54:22Z,,1
cranelift-codegen,GHSA-hpqh-2wqx-7qp5,,2021-08-25T21:01:55Z,,1
simple-slab,GHSA-hqc8-j86x-2764,,2021-08-25T20:48:33Z,,1
slice-deque,GHSA-hr3c-6mmp-6m39,,2021-08-25T20:42:57Z,,1
libsecp256k1,GHSA-hrjm-c879-pp86,,2021-08-25T20:46:46Z,,1
spin,GHSA-hv7x-f3pv-gpwr,,2021-08-25T20:44:46Z,,1
yaml-rust,GHSA-hv87-47h9-jcvq,,2021-08-25T20:43:13Z,,1
raw-cpuid,GHSA-hvqc-pc78-x9wh,,2021-08-25T20:53:10Z,,1
dces,GHSA-hxw9-jxqw-jc8j,,2021-08-25T20:58:05Z,,1
chacha20,GHSA-j2r6-2m5c-vgh5,,2021-08-25T20:45:20Z,,1
