crate,downloads,recent_downloads,updated_at,created_at,max_version,description,repository,cvss_score,label,source
abi_stable,1215035.0,195758.0,2023-10-12T20:00:22.217465Z,2019-04-13T04:58:45.473118Z,0.11.3,"For doing Rust-to-Rust ffi,writing libraries loaded at program startup.",https://github.com/rodrimati1992/abi_stable_crates/,,1,vulnerable
abomonation,1034752.0,38954.0,2019-07-11T13:00:14.563293Z,2015-07-15T13:27:29.231646Z,0.7.3,A high performance and very unsafe serialization library,https://github.com/TimelyDataflow/abomonation.git,,1,vulnerable
abox,8412.0,1035.0,2021-01-25T13:20:28.714428Z,2018-05-14T15:17:44.725861Z,0.4.1,A safe wrapper around AtomicPtr,,,1,vulnerable
acc_reader,8497.0,2149.0,2016-02-01T21:10:08.279769Z,2016-01-30T22:53:11.418275Z,2.0.0,A wrapper for std::io::Read providing std::io::Seek,https://github.com/netvl/acc_reader,,1,vulnerable
actix-codec,33187014.0,4835544.0,2024-01-30T22:15:31.971530Z,2018-12-11T16:11:24.789455Z,0.5.2,Codec utilities for working with framed protocols,https://github.com/actix/actix-net,,1,vulnerable
actix-http,33747473.0,4959230.0,2025-03-10T03:53:03.936802Z,2019-03-28T19:50:22.257203Z,3.10.0,HTTP types and services for the Actix ecosystem,https://github.com/actix/actix-web,,1,vulnerable
actix-service,32387104.0,4823894.0,2025-03-09T17:57:51.688174Z,2018-12-09T18:06:41.389362Z,2.0.3,Service trait and combinators for representing asynchronous request/response operations.,https://github.com/actix/actix-net,,1,vulnerable
actix-utils,32801092.0,4810341.0,2022-10-21T02:16:28.434701Z,2018-12-11T16:41:30.670256Z,3.0.1,Various utilities used in the Actix ecosystem,https://github.com/actix/actix-net,,1,vulnerable
actix-web,34264810.0,4995923.0,2025-03-10T04:52:19.400006Z,2017-10-23T23:08:29.260260Z,4.10.2,"Actix Web is a powerful, pragmatic, and extremely fast web framework for Rust",https://github.com/actix/actix-web,,1,vulnerable
adtensor,4490.0,569.0,2019-04-08T03:43:06.683431Z,2019-03-27T21:35:04.667565Z,0.0.3,Machine learning library with auto differentiation of arbitrary dimensional stack tensors.,https://github.com/charles-r-earp/adtensor,,1,vulnerable
aes-ctr,1962383.0,50742.0,2021-05-03T18:46:01.752833Z,2018-07-30T10:39:26.984009Z,0.99.99,DEPRECATED: replaced by the `aes` crate,https://github.com/RustCrypto/block-ciphers/tree/master/aes,,1,vulnerable
aes-soft,15339918.0,552223.0,2021-05-03T18:44:22.356330Z,2018-03-04T13:10:17.816613Z,0.99.99,DEPRECATED: replaced by the `aes` crate,https://github.com/RustCrypto/block-ciphers/tree/master/aes,,1,vulnerable
aesni,5912304.0,205722.0,2021-05-03T18:43:01.338490Z,2017-07-21T07:42:45.555583Z,0.99.99,DEPRECATED: replaced by the `aes` crate,https://github.com/RustCrypto/block-ciphers/tree/master/aes,,1,vulnerable
age,384408.0,79699.0,2024-12-18T15:35:01.705837Z,2019-10-06T05:58:00.970843Z,0.11.1,"[BETA] A simple, secure, and modern encryption library.",https://github.com/str4d/rage,,1,vulnerable
algorithmica,14164.0,1965.0,2023-12-31T05:52:39.523151Z,2019-03-11T05:31:30.014114Z,0.1.10,Rust Algorithms,https://github.com/AbrarNitk/algorithmica,,1,vulnerable
alg_ds,11679.0,1727.0,2020-01-21T10:11:30.938108Z,2019-06-24T07:08:32.948622Z,0.3.1,Algorithms & data structures,https://gitlab.com/dvshapkin/alg-ds,,1,vulnerable
aliyun-oss-client,63756.0,12150.0,2025-03-30T08:46:27.425779Z,2022-05-21T07:25:46.250112Z,0.13.0-alpha9,an aliyun oss client,https://github.com/tu6ge/oss-rs,,1,vulnerable
alloc-cortex-m,172713.0,15343.0,2022-12-20T20:29:56.019078Z,2016-11-19T15:53:55.367716Z,0.4.4,A heap allocator for Cortex-M processors,https://github.com/rust-embedded/alloc-cortex-m,,1,vulnerable
alloy-json-abi,2833412.0,1357708.0,2025-04-03T09:00:32.853884Z,2023-07-04T10:26:07.575776Z,1.0.0,Full Ethereum JSON-ABI implementation,https://github.com/alloy-rs/core,,1,vulnerable
