crate,id,title,description,date
abi_stable,RUSTSEC-2020-0105,,,2020-12-21
abomonation,RUSTSEC-2021-0120,,,2021-10-17
abox,RUSTSEC-2020-0121,,,2020-11-10
acc_reader,RUSTSEC-2020-0155,,,2020-12-27
actix-codec,RUSTSEC-2020-0049,,,2020-01-30
actix-http,RUSTSEC-2020-0048,,,2020-01-24
actix-http,RUSTSEC-2021-0081,,,2021-06-16
actix-service,RUSTSEC-2020-0046,,,2020-01-08
actix-utils,RUSTSEC-2020-0045,,,2020-01-08
actix-web,RUSTSEC-2018-0019,,,2018-06-08
adtensor,RUSTSEC-2021-0045,,,2021-01-11
aes-ctr,RUSTSEC-2021-0061,,,2021-04-29
aes-soft,RUSTSEC-2021-0060,,,2021-04-29
aesni,RUSTSEC-2021-0059,,,2021-04-29
age,RUSTSEC-2024-0433,,,2024-12-18
algorithmica,RUSTSEC-2021-0053,,,2021-03-07
alg_ds,RUSTSEC-2020-0033,,,2020-08-25
aliyun-oss-client,RUSTSEC-2022-0089,,,2022-11-19
alloc-cortex-m,RUSTSEC-2022-0073,,,2022-12-21
alloy-json-abi,RUSTSEC-2024-0362,,,2024-07-30
alpm-rs,RUSTSEC-2020-0032,,,2020-08-20
ammonia,RUSTSEC-2019-0001,,,2019-04-27
ammonia,RUSTSEC-2021-0074,,,2021-07-08
ammonia,RUSTSEC-2022-0003,,,2022-01-19
ansi_term,RUSTSEC-2021-0139,,,2021-08-18
anstream,RUSTSEC-2024-0404,,,2024-09-08
anymap,RUSTSEC-2021-0065,,,2021-05-07
aovec,RUSTSEC-2020-0099,,,2020-12-10
appendix,RUSTSEC-2020-0149,,,2020-11-15
arc-swap,RUSTSEC-2020-0091,,,2020-12-10
arenavec,RUSTSEC-2021-0040,,,2021-01-12
ark-r1cs-std,RUSTSEC-2021-0075,,,2021-07-08
arr,RUSTSEC-2020-0034,,,2020-08-25
array-macro,RUSTSEC-2020-0161,,,2020-05-07
array-macro,RUSTSEC-2022-0017,,,2022-04-27
array-queue,RUSTSEC-2020-0047,,,2020-09-26
array-tools,RUSTSEC-2020-0132,,,2020-12-31
arrayfire,RUSTSEC-2018-0011,,,2018-12-18
arrow,RUSTSEC-2021-0116,,,2021-09-14
arrow,RUSTSEC-2021-0117,,,2021-09-14
arrow,RUSTSEC-2021-0118,,,2021-09-14
arrow2,RUSTSEC-2022-0012,,,2022-03-04
ascii,RUSTSEC-2023-0015,,,2023-02-25
ash,RUSTSEC-2021-0090,,,2021-01-07
asn1_der,RUSTSEC-2019-0007,,,2019-06-13
async-coap,RUSTSEC-2020-0124,,,2020-12-08
async-graphql,RUSTSEC-2022-0037,,,2022-07-21
async-h1,RUSTSEC-2020-0093,,,2020-12-17
async-nats,RUSTSEC-2023-0027,,,2023-03-24
atk,RUSTSEC-2024-0413,,,2024-03-04
atk-sys,RUSTSEC-2024-0416,,,2024-03-04
atom,RUSTSEC-2020-0044,,,2020-09-21
atomic-option,RUSTSEC-2020-0113,,,2020-10-31
atty,RUSTSEC-2021-0145,,,2021-07-04
atty,RUSTSEC-2024-0375,,,2024-09-25
autorand,RUSTSEC-2020-0103,,,2020-12-31
av-data,RUSTSEC-2021-0007,,,2021-01-07
axum-core,RUSTSEC-2022-0055,,,2022-08-31
backoff,RUSTSEC-2025-0012,,,2025-03-04
badge,RUSTSEC-2022-0057,,,2022-08-31
bam,RUSTSEC-2021-0027,,,2021-01-07
base64,RUSTSEC-2017-0004,,,2017-05-03
basic_dsp_matrix,RUSTSEC-2021-0009,,,2021-01-10
bat,RUSTSEC-2021-0106,,,2021-07-15
bcc,RUSTSEC-2024-0383,,,2024-09-04
bcder,RUSTSEC-2023-0062,,,2023-09-13
beef,RUSTSEC-2020-0122,,,2020-10-28
better-macro,RUSTSEC-2021-0077,,,2021-07-22
bigint,RUSTSEC-2020-0025,,,2020-05-07
binjs_io,RUSTSEC-2021-0085,,,2021-01-03
bite,RUSTSEC-2020-0153,,,2020-12-31
bitvec,RUSTSEC-2020-0007,,,2020-03-27
blake2,RUSTSEC-2019-0019,,,2019-08-25
block-cipher,RUSTSEC-2020-0057,,,2020-10-15
block-cipher-trait,RUSTSEC-2020-0018,,,2020-05-26
blurhash,RUSTSEC-2023-0083,,,2023-09-19
borsh,RUSTSEC-2023-0033,,,2023-04-12
boxfnonce,RUSTSEC-2019-0040,,,2019-06-20
bra,RUSTSEC-2021-0008,,,2021-01-02
branca,RUSTSEC-2020-0075,,,2020-11-29
bronzedb-protocol,RUSTSEC-2021-0084,,,2021-01-03
brotli-sys,RUSTSEC-2021-0131,,,2021-12-20
buffered-reader,RUSTSEC-2023-0039,,,2023-05-16
buffoon,RUSTSEC-2020-0154,,,2020-12-31
buf_redux,RUSTSEC-2023-0028,,,2023-01-24
bumpalo,RUSTSEC-2020-0006,,,2020-03-24
bumpalo,RUSTSEC-2022-0078,,,2022-01-14
bunch,RUSTSEC-2020-0130,,,2020-11-12
buttplug,RUSTSEC-2020-0112,,,2020-12-18
byte_struct,RUSTSEC-2021-0032,,,2021-03-01
bzip2,RUSTSEC-2023-0004,,,2023-01-09
cache,RUSTSEC-2020-0128,,,2020-11-24
cache,RUSTSEC-2021-0006,,,2021-01-01
calamine,RUSTSEC-2021-0015,,,2021-01-06
candid,RUSTSEC-2023-0073,,,2023-12-08
capnp,RUSTSEC-2022-0068,,,2022-11-30
cargo-download,RUSTSEC-2021-0133,,,2021-12-25
cassandra,RUSTSEC-2016-0006,,,2016-12-15
cassandra-cpp,RUSTSEC-2024-0017,,,2024-02-28
cbox,RUSTSEC-2020-0005,,,2020-03-19
cdr,RUSTSEC-2021-0012,,,2021-01-02
cell-project,RUSTSEC-2020-0164,,,2020-08-27
cgc,RUSTSEC-2020-0148,,,2020-12-10
cggmp21,RUSTSEC-2024-0393,,,2024-07-18
cggmp21-keygen,RUSTSEC-2024-0392,,,2024-07-18
chacha20,RUSTSEC-2019-0029,,,2019-10-22
chan,RUSTSEC-2018-0014,,,2018-07-31
chrono,RUSTSEC-2020-0159,,,2020-11-10
chrono-english,RUSTSEC-2024-0395,,,2024-06-24
chttp,RUSTSEC-2019-0016,,,2019-09-01
chunky,RUSTSEC-2020-0035,,,2020-08-25
ckb,RUSTSEC-2021-0107,,,2021-07-25
ckb,RUSTSEC-2021-0108,,,2021-07-25
ckb,RUSTSEC-2021-0109,,,2021-07-25
claim,RUSTSEC-2022-0077,,,2022-12-04
claxon,RUSTSEC-2018-0004,,,2018-08-25
clipboard,RUSTSEC-2022-0056,,,2022-06-25
cocoon,RUSTSEC-2023-0068,,,2023-10-15
columnar,RUSTSEC-2021-0087,,,2021-01-07
compact_arena,RUSTSEC-2019-0015,,,2019-05-21
compu-brotli-sys,RUSTSEC-2021-0132,,,2021-12-20
comrak,RUSTSEC-2021-0026,,,2021-02-21
