crate,downloads,recent_downloads,updated_at,created_at,max_version,description,repository,stars,forks,open_issues,license,active_ratio,updated_at_dt,days_since_update,created_at_dt,days_since_created,github_data_missing
syn,819905368,119945998,2025-03-09T21:23:48.900018Z,2016-09-07T15:22:40.491981Z,2.0.100,Parser for Rust source code,https://github.com/dtolnay/syn,3039,317,63,Apache License 2.0,0.14629249018406232,2025-03-09 21:23:48.900018+00:00,29,2016-09-07 15:22:40.491981+00:00,3135,0
hashbrown,598376356,114294580,2024-11-25T00:36:20.789854Z,2018-10-29T14:28:15.767024Z,0.15.2,A Rust port of Google's SwissTable hash map,https://github.com/rust-lang/hashbrown,2607,297,89,Apache License 2.0,0.19100784791035427,2024-11-25 00:36:20.789854+00:00,134,2018-10-29 14:28:15.767024+00:00,2353,0
bitflags,597676915,91708636,2025-03-01T10:07:07.056260Z,2015-01-15T08:35:24.901276Z,2.9.0,"A macro to generate structures which behave like bitflags.
",https://github.com/bitflags/bitflags,999,149,7,Apache License 2.0,0.15344182399950984,2025-03-01 10:07:07.056260+00:00,38,2015-01-15 08:35:24.901276+00:00,3736,0
proc-macro2,571664895,76845431,2025-03-03T05:14:34.171809Z,2017-07-06T01:01:58.064887Z,1.0.94,A substitute implementation of the compiler's `proc_macro` API to decouple token-based libraries from the procedural macro use case.,https://github.com/dtolnay/proc-macro2,813,117,14,Apache License 2.0,0.13442391105719373,2025-03-03 05:14:34.171809+00:00,36,2017-07-06 01:01:58.064887+00:00,2833,0
quote,559268030,75816388,2025-03-11T23:56:24.338648Z,2016-09-03T05:42:05.484129Z,1.0.40,Quasi-quoting macro quote!(...),https://github.com/dtolnay/quote,1398,93,6,Apache License 2.0,0.13556360087309122,2025-03-11 23:56:24.338648+00:00,27,2016-09-03 05:42:05.484129+00:00,3139,0
libc,552948992,73838536,2025-04-03T07:19:23.284954Z,2015-01-15T20:22:13.100871Z,1.0.0-alpha.1,Raw FFI bindings to platform libraries like libc.,https://github.com/rust-lang/libc,2220,1097,174,Apache License 2.0,0.13353589041355915,2025-04-03 07:19:23.284954+00:00,5,2015-01-15 20:22:13.100871+00:00,3735,0
base64,543103416,89840089,2024-04-30T23:16:40.343739Z,2015-12-04T01:07:31.173829Z,0.22.1,encodes and decodes base64 as bytes or utf8,https://github.com/marshallpierce/rust-base64,650,121,19,Apache License 2.0,0.16541985624336417,2024-04-30 23:16:40.343739+00:00,342,2015-12-04 01:07:31.173829+00:00,3413,0
regex-syntax,522031899,82359643,2024-09-29T13:26:58.258288Z,2015-05-27T23:19:16.839117Z,0.8.5,A regular expression parser.,https://github.com/rust-lang/regex/tree/master/regex-syntax,,,,,0.15776745282762883,2024-09-29 13:26:58.258288+00:00,191,2015-05-27 23:19:16.839117+00:00,3603,1
rand_core,502431220,72870217,2025-03-01T14:01:08.459817Z,2017-09-14T12:02:18.709038Z,0.9.3,"Core random number generator traits and tools for implementation.
",https://github.com/rust-random/rand,1815,459,25,Other,0.14503520899835803,2025-03-01 14:01:08.459817+00:00,38,2017-09-14 12:02:18.709038+00:00,2763,0
serde,497052740,66610896,2025-03-09T19:13:49.968038Z,2014-12-05T20:20:39.487502Z,1.0.219,A generic serialization/deserialization framework,https://github.com/serde-rs/serde,9574,812,314,Apache License 2.0,0.13401172680388002,2025-03-09 19:13:49.968038+00:00,29,2014-12-05 20:20:39.487502+00:00,3776,0
