downloads,recent_downloads,updated_at_days_ago,created_at_days_ago,cvss_score,label,stars,forks,open_issues,last_pushed_days_ago,max_version_encoded
1215035.0,195758.0,,,,1,548.0,33.0,28.0,,86
1034752.0,38954.0,,,,1,334.0,33.0,32.0,,433
8412.0,1035.0,,,,1,298.0,49.0,17.0,,325
8497.0,2149.0,,,,1,1.0,0.0,1.0,,629
33187014.0,4835544.0,,,,1,737.0,358.0,19.0,,374
33747473.0,4959230.0,,,,1,22730.0,1731.0,238.0,,727
32387104.0,4823894.0,,,,1,737.0,358.0,19.0,,645
32801092.0,4810341.0,,,,1,737.0,358.0,19.0,,716
34264810.0,4995923.0,,,,1,22730.0,1731.0,238.0,,762
4490.0,569.0,,,,1,0.0,0.0,1.0,,7
1962383.0,50742.0,,,,1,298.0,49.0,17.0,,489
15339918.0,552223.0,,,,1,298.0,49.0,17.0,,489
5912304.0,205722.0,,,,1,298.0,49.0,17.0,,489
384408.0,79699.0,,,,1,2890.0,110.0,44.0,,80
14164.0,1965.0,,,,1,16.0,2.0,1.0,,15
11679.0,1727.0,,,,1,298.0,49.0,17.0,,257
63756.0,12150.0,,,,1,41.0,4.0,0.0,,105
172713.0,15343.0,,,,1,376.0,57.0,4.0,,336
2833412.0,1357708.0,,,,1,847.0,189.0,18.0,,490
31739.0,4110.0,,,,1,298.0,49.0,17.0,,32
6369234.0,749282.0,,,,1,568.0,46.0,19.0,,751
137781288.0,8965684.0,,,,1,467.0,77.0,27.0,,97
147872173.0,36045582.0,,,,1,131.0,24.0,14.0,,400
5912824.0,318523.0,,,,1,342.0,44.0,12.0,,497
25683.0,1406.0,,,,1,298.0,49.0,17.0,,528
18037.0,2008.0,,,,1,298.0,49.0,17.0,,183
96020814.0,17239596.0,,,,1,923.0,34.0,13.0,,597
3503.0,561.0,,,,1,2.0,1.0,2.0,,14
1159907.0,93145.0,,,,1,155.0,78.0,35.0,,365
10752.0,1847.0,,,,1,3.0,0.0,1.0,,398
4420869.0,441442.0,,,,1,298.0,49.0,17.0,,654
